Forest,Plot,Quadrant,Common_name,Sci_name,DBH_cm,Comments
Degrasse,1,1,red pine,pinus resinosa,36.8,Is this one really a red pine?
Degrasse,1,1,Red pine,Pinus Resinosa,41.9,
Degrasse,1,1,Red pine,pinus resinosa,37,
Degrasse,1,2,American beech,fagus grandifolai,28.7,more than one stem
Degrasse,1,2,American beech,Fagus grandifolia,13.8,
Degrasse,1,2,American beech,Fagus grandifolia,12.8,
Degrasse,1,2,red pine,Pinus resinosa,35.2,
Degrasse,1,2,white pine,Pinus strobus,15.7,
Degrasse,1,3,red pine,Pinus resinosa,37.7,
Degrasse,1,3,white pine,Pinus strobus,16.6,
Degrasse,1,3,red pine,Pinus resinosa,37.8,
Degrasse,1,3,red pine,Pinus resinosa,37.2,
Degrasse,1,4,red pine,Pinus resinosa,35.6,
Degrasse,1,4,white pine,Pinus strobus,10.2,
Degrasse,1,4,red pine,Pinus resinosa,37.8,
Degrasse,2,1,red pine,Pinus resinosa,37.2,
Degrasse,2,1,red pine,Pinus resinosa,42.2,
Degrasse,2,1,red pine,Pinus resinosa,34.4,
Degrasse,2,1,white pine,Pinus strobus,24.9,
Degrasse,2,2,red pine,Pinus resinosa,36.6,
Degrasse,2,3,red pine,Pinus resinosa,39.2,
Degrasse,2,3,red pine,Pinus resinosa,41,
Degrasse,2,3,red pine,Pinus resinosa,34.5,
Degrasse,2,3,red pine,Pinus resinosa,40.3,is species correct?
Degrasse,2,4,red pine,Pinus resinosa,37.2,
Degrasse,2,4,red pine,Pinus resinosa,33.8,
Degrasse,2,4,red pine,Pinus resinosa,38.8,
Degrasse,2,4,white pine,Pinus strobus,21.7,
Degrasse,2,4,red pine,Pinus resinosa,36.1,
Donnerville,1,1,sugar maple,Acer ssaccharum,25.1,
Donnerville,1,1,red maple,Acer rubrum,18,
Donnerville,1,1,sugar maple,Acer saccharum,17.1,
Donnerville,1,1,sugar maple,Acer saccharum,16.3,
Donnerville,1,1,Sugar maple,Acer saccharum,14.4,
Donnerville,1,1,Red maple,Acer rubrum,25.3,
Donnerville,1,1,sugar maple,acer saccharum,16.2,
Donnerville,1,2,sugar maple,Acer saccharum,14,
Donnerville,1,2,sugar maple,Acer saccharum,,
Donnerville,1,2,Red maple,Acer rubrum,79,more than 2 stems
Donnerville,1,3,Sugar maple,Acer saccharum,23.2,
Donnerville,1,3,sugar maple,acer saccharum,16.6,
Donnerville,1,3,Red maple,Acer rubrum,18.4,
Donnerville,1,3,quaking aspen,Populus tremuloides,24.5,
Donnerville,1,3,white ash,Fraxinus americana,14.3,
Donnerville,1,3,quaking aspen,Populus tremuloides,37,
Donnerville,1,4,sugar maple,Acer saccharum,27.5,
Donnerville,1,4,red maple,Acer rubrum,18.6,
Donnerville,1,4,Red maple,Acer rubrum,19.4,
Donnerville,1,4,Red maple,Acer rubrum,18.11,
Donnerville,2,1,white ash,Fraxinus americana,19,
Donnerville,2,1,Red maple,Acer rubrum,45.1,
Donnerville,2,1,juneberry,Amelanchier spp. ,13.9,not sure what species
Donnerville,2,1,American beech,Fagus grandifolia,10.6,
Donnerville,2,1,juneberry,Amelanchier spp.,18.8,not sure what species
Donnerville,2,1,juneberry,Amelanchier spp.,11.9,not sure what species
Donnerville,2,2,Red maple,Acer rubrum,22,
Donnerville,2,2,Red maple,Acer rubrum,50.4,
Donnerville,2,2,juneberry,Amelanchier spp.,11.2,
Donnerville,2,2,Black cherry,Prunus serotina,33.5,
Donnerville,2,3,white ash,Fraxinus americana,24.3,
Donnerville,2,3,red maple,Acer rubrum,13.3,
Donnerville,2,3,black cherry,Prunus serotina,9.9,
Donnerville,2,3,black cherry,Prunus serotina,35.9,
Donnerville,2,3,red maple,Acer rubrum,102.6,
Donnerville,2,3,American beech,Fagus grandifolia,14.6,
Donnerville,2,4,sugar maple,Acer saccharum,32.4,
Donnerville,2,4,sugar maple,Acer saccharum,13.3,
Donnerville,2,4,American beech,Fagus grandifolia,14.7,
Donnerville,2,4,sugar maple,Acer saccharum,21.8,
Donnerville,2,4,black cherry,Prunus serotina,31.6,
Donnerville,2,4,juneberry,Amelanchier spp.,11.2,
Donnerville,2,4,sugar maple,Acer saccharum,10.7,
Donnerville,2,4,American beech,Fagus grandifolia,10.3,